"","V162034a","V161006","V161086","V161087","V162255","V161019","V162146","V161235","V161126","V161158x","V161176","V161196","V161215","V161221","V161231","V161243","V161008","V161195","V161370","V161393","V161451","V161373","V161376","V161385","V161389","V161245","V161309","V161310a","V161310b","V161181","V161184","V161201","V161178"
"3468","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",15,70,"1. Muslim","2. Republican party","3. Neither favor nor oppose","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","4. Independent","2. A lot","3. Neither favor nor oppose","5. Never","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","2. Two days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","2. Almost every week","2. No","1. Selected","0. Not selected",5,4,99,4
"3469","2. Donald Trump","2. Mitt Romney",24,67,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","1. Better","5. Slightly conservative","5. Independent-Republican","4. A little","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","3. Three days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,4,5,4
"3470","1. Hillary Clinton","-1. Inap, 2,-8,-9 in V161005",70,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","3. Slightly liberal","3. Independent-Democrat","2. A lot","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,2,1,5
"3471","2. Donald Trump","2. Mitt Romney",0,70,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","5. Slightly conservative","6. Not very strong Republican","3. A moderate amount","1. Favor","3. About half the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","2. Two days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,7,5,3
"3472","1. Hillary Clinton","1. Barack Obama",100,15,"2. Not a Muslim","1. Democratic party","1. Favor","3. About the same","5. Slightly conservative","1. Strong Democrat","1. A great deal","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",3,1,1,4
"3473","-6. Unit nonresponse, no Post-Election interview","2. Mitt Romney",0,70,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","3. About the same","5. Slightly conservative","5. Independent-Republican","3. A moderate amount","1. Favor","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff (sufficient partial IW)","-5. Interview breakoff (sufficient partial IW)","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",7,6,4,3
"3474","1. Hillary Clinton","1. Barack Obama",90,0,"2. Not a Muslim","5. Other SPECIFY","1. Favor","1. Better","2. Liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,1,2,6
"3475","1. Hillary Clinton","1. Barack Obama",30,30,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","4. Moderate, middle of the road","3. Independent-Democrat","3. A moderate amount","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",3,4,5,6
"3476","-6. Unit nonresponse, no Post-Election interview","2. Mitt Romney",0,60,"-6. No post-election interview","2. Republican party","-6. No post-election interview","2. Worse","6. Conservative","7. Strong Republican","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","4. Four days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",4,7,6,3
"3477","2. Donald Trump","1. Barack Obama",4,52,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","4. Independent","3. A moderate amount","1. Favor","3. About half the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",99,99,99,99
"3478","2. Donald Trump","1. Barack Obama",30,65,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","2. Worse","4. Moderate, middle of the road","4. Independent","3. A moderate amount","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","4. Four days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","2. No","0. Not selected","0. Not selected",2,3,3,5
"3479","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",5,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","4. Moderate, middle of the road","4. Independent","5. Not at all","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","0. Not selected","0. Not selected",1,1,2,3
"3480","1. Hillary Clinton","1. Barack Obama",60,15,"2. Not a Muslim","4. None or 'independent'","1. Favor","1. Better","3. Slightly liberal","3. Independent-Democrat","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","4. A few times a year","2. No","1. Selected","0. Not selected",4,6,3,3
"3481","2. Donald Trump","2. Mitt Romney",4,75,"2. Not a Muslim","2. Republican party","1. Favor","2. Worse","6. Conservative","7. Strong Republican","1. A great deal","1. Favor","4. Some of the time","2. Probably hasn't been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","1. Selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,6,6,1
"3482","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",40,15,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","3. Slightly liberal","2. Not very strong Democract","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","1. Selected","1. Selected","0. Not selected","1. Selected","1. Selected","4. A few times a year","2. No","0. Not selected","1. Selected",2,1,1,99
"3483","-7. No Post, deleted due to insufficient partial","-1. Inap, 2,-8,-9 in V161005",0,85,"-7. No post data, deleted due to incomplete IW","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-7. No post data, deleted due to incomplete IW","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","4. Independent","5. Not at all","1. Favor","4. Some of the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","1. One day","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","1. Selected","4. A few times a year","2. No","1. Selected","0. Not selected",7,7,99,2
"3484","4. Jill Steiin","-1. Inap, 2,-8,-9 in V161005",85,70,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","2. Oppose","2. Worse","5. Slightly conservative","7. Strong Republican","2. A lot","1. Favor","2. Most of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","5. Five days","1. Should be sent back where they came from","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","1. Selected","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","2. Almost every week","2. No","0. Not selected","1. Selected",4,1,1,6
"3485","1. Hillary Clinton","-1. Inap, 2,-8,-9 in V161005",100,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","3. Slightly liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","2. Most of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","3. Three days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","0. Not selected","0. Not selected",6,1,3,6
"3486","1. Hillary Clinton","1. Barack Obama",60,4,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","3. About the same","3. Slightly liberal","2. Not very strong Democract","2. A lot","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","5. Never","2. No","1. Selected","0. Not selected",5,1,1,99
"3487","-6. Unit nonresponse, no Post-Election interview","-1. Inap, 2,-8,-9 in V161005",0,0,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","2. Worse","4. Moderate, middle of the road","4. Independent","1. A great deal","3. Neither favor nor oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","3. Three days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,1,4,5
"3488","1. Hillary Clinton","1. Barack Obama",60,0,"2. Not a Muslim","1. Democratic party","3. Neither favor nor oppose","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Not very strong Democract","4. A little","2. Oppose","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","0. Not selected","1. Selected",5,3,1,5
"3489","1. Hillary Clinton","2. Mitt Romney",100,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","5. Slightly conservative","2. Not very strong Democract","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",4,7,4,3
"3490","2. Donald Trump","2. Mitt Romney",0,100,"1. Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","2. Worse","6. Conservative","7. Strong Republican","1. A great deal","1. Favor","4. Some of the time","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,7,5,3
"3491","2. Donald Trump","2. Mitt Romney",0,85,"-9. Refused","2. Republican party","1. Favor","3. About the same","6. Conservative","7. Strong Republican","1. A great deal","1. Favor","3. About half the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","5. Five days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",5,7,3,1
"3492","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",60,-99,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","3. Neither favor nor oppose","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Independent-Democrat","3. A moderate amount","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","2. Two days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","1. Selected","3. Once or twice a month","2. No","1. Selected","0. Not selected",4,99,99,99
"3493","1. Hillary Clinton","2. Mitt Romney",87,0,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","5. Slightly conservative","6. Not very strong Republican","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","1. Yes","1. Selected","0. Not selected",4,3,1,2
"3494","1. Hillary Clinton","1. Barack Obama",85,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","2. Liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","2. Most of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",3,1,1,6
"3495","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",70,70,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","3. Slightly liberal","2. Not very strong Democract","3. A moderate amount","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","3. The Bible is a book written by men and is not the word of God.","1. One day","1. Should be sent back where they came from","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","4. A few times a year","2. No","0. Not selected","0. Not selected",4,99,2,4
"3496","-6. Unit nonresponse, no Post-Election interview","1. Barack Obama",100,0,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","3. About the same","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Strong Democrat","3. A moderate amount","3. Neither favor nor oppose","4. Some of the time","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","0. Not selected","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","2. Almost every week","2. No","0. Not selected","1. Selected",5,4,99,99
"3497","-6. Unit nonresponse, no Post-Election interview","-1. Inap, 2,-8,-9 in V161005",70,15,"-6. No post-election interview","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-6. No post-election interview","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Strong Democrat","2. A lot","3. Neither favor nor oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","4. A few times a year","1. Yes","-9. Refused question","-9. Refused question",99,3,3,5
"3498","2. Donald Trump","2. Mitt Romney",0,0,"2. Not a Muslim","2. Republican party","1. Favor","2. Worse","7. Extremely conservative","7. Strong Republican","1. A great deal","1. Favor","5. Never","2. Probably hasn't been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","2. The Bible is the word of God but not everything in it should be taken literally","7. Seven days","1. Should be sent back where they came from","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",7,7,7,1
"3499","1. Hillary Clinton","2. Mitt Romney",30,15,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","4. Moderate, middle of the road","4. Independent","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",6,7,4,3
"3500","3. Gary Johnson","2. Mitt Romney",38,57,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","2. Oppose","1. Better","4. Moderate, middle of the road","5. Independent-Republican","3. A moderate amount","2. Oppose","3. About half the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","3. Three days","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","0. Not selected","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","2. Almost every week","2. No","1. Selected","0. Not selected",4,6,3,2
"3501","1. Hillary Clinton","1. Barack Obama",40,0,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","1. Favor","1. Better","4. Moderate, middle of the road","1. Strong Democrat","4. A little","2. Oppose","4. Some of the time","1. Has probably been happening","3. There should be no legal recognition of a gay or lesbian couple's relationship.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-9. Refused question","0. Not selected","1. Selected","0. Not selected","0. Not selected","1. Every week","2. No","0. Not selected","1. Selected",99,4,2,5
"3502","2. Donald Trump","2. Mitt Romney",1,17,"2. Not a Muslim","2. Republican party","1. Favor","1. Better","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","6. Not very strong Republican","3. A moderate amount","1. Favor","4. Some of the time","1. Has probably been happening","2. Gay and lesbian couples should be allowed to form civil unions but not legally marry.","3. The Bible is a book written by men and is not the word of God.","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","1. Selected","1. Selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","4. A few times a year","1. Yes","1. Selected","0. Not selected",2,7,3,1
"3503","1. Hillary Clinton","1. Barack Obama",95,2,"2. Not a Muslim","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","2. Oppose","1. Better","2. Liberal","5. Independent-Republican","5. Not at all","2. Oppose","4. Some of the time","2. Probably hasn't been happening","1. Gay and lesbian couples should be allowed to legally marry.","1. The Bible is the actual word of God and is to be taken literally, word for word.","7. Seven days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","0. Not selected","3. Once or twice a month","2. No","0. Not selected","0. Not selected",7,1,3,6
"3504","1. Hillary Clinton","1. Barack Obama",70,0,"2. Not a Muslim","4. None or 'independent'","1. Favor","1. Better","2. Liberal","1. Strong Democrat","3. A moderate amount","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","2. The Bible is the word of God but not everything in it should be taken literally","6. Six days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",5,99,1,4
"3505","-1. INAP, 2,-8,-9 in V162034/ 1,2,3,-8,-9 in V162031/ 3 in V162022/ FTF: -8,-9 in V162022/ WEB: -9 in V162022a/ 4 in V16","-1. Inap, 2,-8,-9 in V161005",72,1,"-9. Refused","-1. Inap, 0 in V161015e/ 3 in V161011/ FTF: -8,-9 in V161011/ WEB: 2,-9 in V161011a","-9. Refused","2. Worse","99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","4. Independent","-9. Refused","3. Neither favor nor oppose","-9. Refused","1. Has probably been happening","-9. Refused","2. The Bible is the word of God but not everything in it should be taken literally","1. One day","-9. Refused","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","0. Not selected","0. Not selected","0. Not selected","1. Every week","2. No","1. Selected","0. Not selected",99,99,99,99
"3506","1. Hillary Clinton","1. Barack Obama",75,0,"2. Not a Muslim","1. Democratic party","1. Favor","1. Better","2. Liberal","1. Strong Democrat","1. A great deal","2. Oppose","3. About half the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","5. Five days","2. Should be allowed to live and work in the U.S.","0. Not selected","0. Not selected","-1. INAP, 0,-9 in V161363d","0. Not selected","1. Selected","0. Not selected","0. Not selected","-1. INAP, 2,-8,-9 in V161244","2. No","1. Selected","0. Not selected",4,1,1,4
"3507","1. Hillary Clinton","1. Barack Obama",85,0,"2. Not a Muslim","4. None or 'independent'","1. Favor","1. Better","2. Liberal","3. Independent-Democrat","1. A great deal","2. Oppose","4. Some of the time","1. Has probably been happening","1. Gay and lesbian couples should be allowed to legally marry.","3. The Bible is a book written by men and is not the word of God.","1. One day","2. Should be allowed to live and work in the U.S.","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","0. Not selected","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","-1. INAP, 0,-9 in V161363a and 0,-9 in V161363c","2. Almost every week","2. No","1. Selected","0. Not selected",99,99,1,7
